Results per version; rows are matrices

Results for version Baseline Discrete Standard =>
,Atomic Add 1,Atomic Add 2,Dot 1 (+Reset),Dot 2 (+Reset),Peer Sync 1,Peer Sync 2,Peer Sync 3,Saxpy 1,Saxpy 2,Saxpy 3,SpMV
(generated)_tridiagonal,11.5998,3.3412,4.1082,3.7857,0.5022,0.1958,0.2714,4.5965,4.2956,3.9925,6.0655
ecology2,12.1113,3.2732,2.7701,2.5677,0.2310,0.1672,0.2704,2.5047,2.5234,2.4631,2.9606
hood,11.7530,3.3937,2.7113,2.5359,0.4585,0.1723,0.3579,2.5546,2.4527,2.4166,4.6024
bmwcra_1,11.4824,3.3624,2.5192,2.4199,0.3472,0.2536,0.3791,2.3840,2.3280,2.3174,4.8674
consph,12.4044,3.0194,2.5096,2.3399,0.2380,0.1568,0.2817,2.3201,2.3172,2.3058,3.6549
thermomech_dM,12.2260,3.0885,2.6316,2.3672,0.2311,0.1598,0.1970,2.3682,2.3122,2.2905,2.7153
tmt_sym,12.0683,3.1805,2.5964,2.4323,0.2866,0.1642,0.2794,2.3464,2.3422,2.3159,3.1777
crankseg_1,11.1014,4.6734,2.5036,2.3545,0.4208,0.1574,0.3295,2.2999,2.4053,2.3318,4.6470
crankseg_2,12.0794,2.9985,2.5256,2.3497,0.2767,0.1946,0.2303,2.3417,2.2875,2.3357,8.0183


Results for version Baseline Discrete Pipelined (No Overlap) =>
,Atomic Adds,Merged Dots (+Reset),Peer Sync 1,Peer Sync 2,Saxpy 1,Saxpy 2,Saxpy 3,Saxpy 4,Saxpy 5,Saxpy 6,SpMV
(generated)_tridiagonal,10.6980,5.3341,0.3248,1.2018,3.3180,3.4379,3.3272,3.2965,3.3393,3.3064,4.4520
ecology2,11.0075,3.9278,0.3026,0.7483,2.3931,2.4207,2.3423,2.3533,2.3566,2.3216,2.6612
hood,11.4527,3.6327,0.3223,0.5502,2.3612,2.3318,2.2515,2.4142,2.2506,2.2765,3.9144
bmwcra_1,10.6745,3.9093,0.3179,1.1295,2.3211,2.3957,2.3847,2.3440,2.2824,2.3396,4.3466
consph,11.4871,3.5952,0.2449,0.5355,2.2805,2.2596,2.2944,2.3486,2.2983,2.2793,3.4269
thermomech_dM,11.5183,3.5725,0.2159,0.5710,2.3246,2.3186,2.2731,2.3988,2.3341,2.3127,2.4415
tmt_sym,10.6460,3.9153,0.2470,0.7496,2.2647,2.3310,2.3888,2.4091,2.3112,2.3699,2.8434
crankseg_1,13.3963,3.6914,0.1814,0.3372,2.2633,2.3353,2.2899,2.3332,2.3764,2.2235,4.1454
crankseg_2,11.0492,3.5733,0.3370,0.6983,2.3309,2.2831,2.3041,2.3016,2.3020,2.3466,7.4288


