Results per version; rows are matrices

Results for version Baseline Discrete Standard =>
,Atomic Add 1,Atomic Add 2,Dot 1 (+Reset),Dot 2 (+Reset),Peer Sync 1,Peer Sync 2,Peer Sync 3,Saxpy 1,Saxpy 2,Saxpy 3,SpMV
(generated)_tridiagonal,2.2875,2.2892,2.8094,2.6553,0.0027,0.0028,0.0026,2.8674,2.8593,2.8603,3.8830
ecology2,2.2942,2.2976,2.4895,2.4817,0.0029,0.0030,0.0026,2.3334,2.3301,2.3304,2.4786
hood,2.2969,2.2996,2.4705,2.3376,0.0028,0.0028,0.0026,2.4379,2.3049,2.2939,3.8445
bmwcra_1,2.3284,2.3281,2.4597,2.3185,0.0027,0.0028,0.0028,2.4004,2.3283,2.2697,4.2506
consph,2.3221,2.3185,2.4451,2.3205,0.0024,0.0024,0.0026,2.4089,2.3210,2.4136,3.2934
thermomech_dM,2.3389,2.3386,2.4652,2.3066,0.0027,0.0028,0.0027,2.4333,2.3437,2.2699,2.4130
tmt_sym,2.3044,2.3091,2.4658,2.4558,0.0024,0.0026,0.0023,2.3107,2.3373,2.3094,2.7432
crankseg_1,2.2971,2.2919,2.4640,2.3398,0.0024,0.0025,0.0025,2.4385,2.3305,2.4290,4.0661
crankseg_2,2.3395,2.2741,2.4638,2.3023,0.0024,0.0025,0.0026,2.4524,2.3054,2.4852,7.5164


Results for version Baseline Discrete Pipelined (No Overlap) =>
,Atomic Adds,Merged Dots (+Reset),Peer Sync 1,Peer Sync 2,Saxpy 1,Saxpy 2,Saxpy 3,Saxpy 4,Saxpy 5,Saxpy 6,SpMV
(generated)_tridiagonal,2.3380,2.8478,0.0027,0.0030,2.8553,2.8463,2.9154,2.9572,2.8938,2.8958,3.9308
ecology2,2.3519,2.4791,0.0027,0.0031,2.2861,2.3089,2.3256,2.3818,2.3800,2.3126,2.5021
hood,2.2786,2.4425,0.0024,0.0029,2.3339,2.3530,2.3642,2.5311,2.3140,2.2957,3.7780
bmwcra_1,2.3707,2.4402,0.0025,0.0029,2.2497,2.2463,2.2837,2.4990,2.3130,2.3746,4.2164
consph,2.3867,2.4023,0.0024,0.0028,2.2769,2.2916,2.4310,2.3432,2.3120,2.3147,3.3859
thermomech_dM,2.2996,2.4146,0.0023,0.0029,2.2371,2.2782,2.3604,2.5357,2.3437,2.3421,2.3376
tmt_sym,2.3091,2.4432,0.0027,0.0031,2.2855,2.3741,2.3391,2.3154,2.3148,2.3196,2.8039
crankseg_1,2.2514,2.4443,0.0025,0.0028,2.2474,2.3889,2.5043,2.2803,2.3330,2.3063,4.1728
crankseg_2,2.2948,2.4241,0.0024,0.0029,2.2713,2.3394,2.4830,2.3084,2.3095,2.3259,7.4844


