Results per version; rows are matrices

Results for version Baseline Discrete Standard =>
,Atomic Add 1,Atomic Add 2,Dot 1 (+Reset),Dot 2 (+Reset),Peer Sync 1,Peer Sync 2,Peer Sync 3,Saxpy 1,Saxpy 2,Saxpy 3,SpMV
(generated)_tridiagonal,3.7564,3.1095,4.3515,3.5953,0.5526,0.0094,0.0092,4.0494,3.9431,3.4719,4.8585
ecology2,3.8910,3.2246,3.9791,3.3723,0.0097,0.0091,0.0088,3.5012,3.4987,2.8874,3.4722
hood,2.5983,2.5363,2.6475,2.4883,0.0270,0.0089,0.0087,2.5843,2.5026,2.4216,3.9734
bmwcra_1,3.8142,3.1675,3.9338,3.2933,0.0105,0.0092,0.0090,3.4010,3.3374,2.8430,5.1527
consph,3.9434,3.2736,3.9772,3.2664,0.0100,0.0091,0.0090,3.5537,3.4549,2.9447,4.2765
thermomech_dM,2.6525,2.5317,2.6457,2.4893,0.0111,0.0090,0.0087,2.5621,2.4991,2.4195,2.5169
tmt_sym,3.8780,3.2404,3.9917,3.3978,0.0098,0.0091,0.0087,3.5321,3.4631,2.9278,3.7244
crankseg_1,3.7867,3.1460,3.9995,3.2624,0.0102,0.0094,0.0093,3.5911,3.3972,3.0026,5.0084
crankseg_2,2.7820,2.6747,2.8055,2.6228,0.0170,0.0093,0.0094,2.8348,2.7399,2.5966,7.6363


Results for version Baseline Discrete Pipelined (No Overlap) =>
,Atomic Adds,Merged Dots (+Reset),Peer Sync 1,Peer Sync 2,Saxpy 1,Saxpy 2,Saxpy 3,Saxpy 4,Saxpy 5,Saxpy 6,SpMV
(generated)_tridiagonal,3.0769,3.5013,0.0108,0.5324,3.6553,3.5950,3.5053,3.4409,3.3394,3.2279,4.7181
ecology2,3.6979,3.3492,0.0100,0.0104,3.3884,3.3894,3.2395,3.0598,2.7684,2.7372,3.9567
hood,3.4799,3.1447,0.0102,0.0102,3.0550,3.1310,2.9827,2.9757,2.7832,2.7111,4.9772
bmwcra_1,5.6668,5.0423,0.0109,0.0124,5.3435,5.1559,5.0462,4.7713,4.5560,4.4384,7.5294
consph,5.1039,4.7176,0.0113,0.0113,4.7546,4.8659,4.8915,4.6888,4.4761,4.4126,6.0740
thermomech_dM,5.4154,4.8813,0.0112,0.0113,5.0750,4.9953,4.7111,4.6644,4.3896,4.2828,5.5045
tmt_sym,2.7736,2.6984,0.0108,0.0103,2.6017,2.6128,2.5698,2.5661,2.5439,2.5450,3.1015
crankseg_1,3.8164,3.2519,0.0100,0.0110,3.3842,3.3385,3.3195,3.0564,2.8800,2.7543,5.4990
crankseg_2,2.8955,2.7103,0.0107,0.0247,2.7406,2.7689,2.9177,2.7272,2.7865,2.7756,7.9754


