Results per version; rows are matrices

Results for version Baseline Discrete Standard =>
,Atomic Add 1,Atomic Add 2,Dot 1 (+Reset),Dot 2 (+Reset),Peer Sync 1,Peer Sync 2,Peer Sync 3,Saxpy 1,Saxpy 2,Saxpy 3,SpMV
(generated)_tridiagonal,9.4433,3.0097,3.5696,3.2743,1.8404,0.1050,0.1220,3.2563,3.2349,3.2331,4.3865
ecology2,9.6182,2.9950,2.5329,2.3876,0.1735,0.1013,0.1083,2.3191,2.3277,2.3022,2.5606
hood,9.3948,3.1353,2.5044,2.3379,0.2401,0.1022,0.1172,2.3087,2.3121,2.2776,4.0885
bmwcra_1,9.4158,3.0675,2.4428,2.3633,0.3220,0.1255,0.1351,2.2937,2.2858,2.2732,4.3174
consph,9.7656,3.1172,2.4526,2.3188,0.1442,0.0987,0.1226,2.3114,2.3162,2.2994,3.3842
thermomech_dM,9.5845,3.0017,2.4829,2.3188,0.1376,0.1002,0.1086,2.3204,2.2905,2.2696,2.4507
tmt_sym,9.6342,2.9883,2.4975,2.3710,0.1347,0.1065,0.1440,2.3070,2.3163,2.3042,2.8647
crankseg_1,9.0821,4.0519,2.4353,2.3200,0.1651,0.1144,0.1209,2.2596,2.3803,2.3169,4.1941
crankseg_2,9.6979,3.1757,2.4273,2.3315,0.1354,0.1007,0.1070,2.2364,2.3274,2.2696,7.4819


Results for version Baseline Discrete Pipelined (No Overlap) =>
,Atomic Adds,Merged Dots (+Reset),Peer Sync 1,Peer Sync 2,Saxpy 1,Saxpy 2,Saxpy 3,Saxpy 4,Saxpy 5,Saxpy 6,SpMV
(generated)_tridiagonal,8.3945,4.4704,0.1581,2.2977,3.2004,3.2643,3.3147,3.2025,3.2544,3.2510,4.3035
ecology2,8.7606,3.0384,0.1493,0.2950,2.2845,2.3281,2.3672,2.3110,2.3341,2.3409,2.4811
hood,8.9080,2.9255,0.1640,0.1911,2.2807,2.2360,2.2550,2.2930,2.2952,2.2882,3.8366
bmwcra_1,8.9395,2.9612,0.1386,0.2258,2.3005,2.2664,2.2605,2.3462,2.2797,2.2717,4.2050
consph,9.0137,3.0054,0.1562,0.2107,2.2948,2.2944,2.2330,2.2277,2.2715,2.2704,3.3953
thermomech_dM,9.2127,2.9861,0.1389,0.1626,2.2917,2.2359,2.2905,2.3602,2.2670,2.2644,2.3522
tmt_sym,8.9144,3.0702,0.1335,0.2538,2.3065,2.3172,2.3193,2.2892,2.2696,2.3074,2.6970
crankseg_1,10.7260,3.1810,0.1303,0.1818,2.2110,2.2807,2.2370,2.2953,2.2843,2.2857,4.1624
crankseg_2,8.8034,2.9206,0.1522,0.1945,2.2169,2.3152,2.3295,2.2834,2.2722,2.3077,7.3849


